FECHA,N1,N2,N3,N4,N5,N6,Complementario,Reintegro
10/02/2024,6,7,16,19,27,32,17,9
8/02/2024,1,3,6,15,26,44,34,3
5/02/2024,3,5,15,34,39,42,30,6
3/02/2024,1,7,8,14,35,45,40,8
1/02/2024,8,14,23,33,35,42,19,8
29/01/2024,10,11,21,25,32,42,44,5
27/01/2024,10,19,34,36,45,46,16,5
25/01/2024,14,18,23,26,32,41,22,0
22/01/2024,12,21,26,28,43,44,32,8
20/01/2024,5,8,10,26,42,43,47,7
18/01/2024,12,17,19,20,43,44,32,0
15/01/2024,1,2,7,9,21,42,37,1
13/01/2024,1,11,14,22,37,38,20,4
11/01/2024,7,12,15,22,35,48,10,4
8/01/2024,13,14,27,37,39,48,1,9
6/01/2024,7,11,13,16,30,35,46,4
4/01/2024,3,7,8,17,18,35,48,1
1/01/2024,19,23,33,41,45,49,24,9
30/12/2023,14,31,34,36,38,48,35,5
28/12/2023,3,11,23,45,47,48,19,1
25/12/2023,12,13,22,31,33,44,1,7
23/12/2023,1,6,9,21,29,32,19,6
21/12/2023,11,15,29,43,46,48,25,3
18/12/2023,1,9,32,40,45,46,5,2
16/12/2023,12,14,18,19,36,40,25,9
14/12/2023,2,27,28,34,45,47,9,6
11/12/2023,5,11,17,25,34,39,38,2
9/12/2023,5,8,20,21,23,24,18,7
7/12/2023,1,3,21,22,27,29,14,3
4/12/2023,7,11,18,24,44,49,16,1
2/12/2023,12,17,20,33,35,49,22,0
30/11/2023,6,7,37,41,43,46,11,9
27/11/2023,1,15,24,30,38,49,37,4
25/11/2023,1,5,12,14,40,41,20,2
23/11/2023,9,14,19,20,27,38,28,8
20/11/2023,11,17,32,34,37,43,48,7
18/11/2023,7,8,14,18,36,43,33,9
16/11/2023,5,10,23,26,33,40,8,3
13/11/2023,5,12,15,36,41,43,33,3
11/11/2023,3,7,15,32,43,49,41,4
9/11/2023,27,31,32,38,39,45,30,0
6/11/2023,4,23,26,31,35,47,21,3
4/11/2023,7,13,14,27,40,49,32,8
2/11/2023,2,14,28,33,36,47,41,8
30/10/2023,7,18,21,40,45,49,41,2
28/10/2023,5,9,20,35,43,45,17,2
26/10/2023,12,13,21,32,38,46,5,4
23/10/2023,6,15,17,32,33,49,13,8
21/10/2023,6,20,22,35,47,48,49,0
19/10/2023,1,5,8,15,28,33,46,8
16/10/2023,4,5,8,10,27,36,14,6
14/10/2023,4,6,19,20,40,48,18,6
12/10/2023,1,3,22,24,31,44,39,3
